panel,metric,eval_mode,fold,strategy,budget_factor,is_primary,coverage_upper_bound,target_k,budget,n,disagreement_lambda,worst_source_recall,worst_source_ndcg,worst_source_normalized_utility,minimax_recall_regret,minimax_ndcg_regret,portfolio_size,portfolio_coverage,paired_diff_recall,paired_diff_recall_ci95_low,paired_diff_recall_ci95_high,material_paired_diff_recall,material_paired_diff_recall_ci95_low,material_paired_diff_recall_ci95_high,full_proc_delta_j_recall,full_proc_delta_j_recall_ci95_low,full_proc_delta_j_recall_ci95_high,full_proc_delta_m_recall,full_proc_delta_m_recall_ci95_low,full_proc_delta_m_recall_ci95_high,full_proc_delta_best_recall,full_proc_delta_best_recall_ci95_low,full_proc_delta_best_recall_ci95_high,baseline_strategy,n_test,paired_diff_ndcg,pareto_efficient
P0,F1_Frobenius,full_panel,,jarvis_only,1.0,True,False,57.0,57.0,573.0,,0.14035087719298245,0.6463877945501844,0.14035087719298245,0.8596491228070176,0.35361220544981564,57,0.09947643979057591,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,jarvis_only,,,False
P0,F1_Frobenius,full_panel,,mp_only,1.0,True,False,57.0,57.0,573.0,,0.14035087719298245,0.6733162323533636,0.14035087719298245,0.8596491228070176,0.3266837676466364,57,0.09947643979057591,0.014112903225806451,-0.02217741935483871,0.05040322580645161,0.0,-0.10714285714285714,0.09090909090909088,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,jarvis_only,,,False
P0,F1_Frobenius,full_panel,,average_percentile,1.0,True,False,57.0,57.0,573.0,,0.45614035087719296,0.9146961778511942,0.45614035087719296,0.543859649122807,0.08530382214880583,57,0.09947643979057591,0.014112903225806451,-0.012147177419354836,0.04233870967741935,0.3157894736842105,0.15254237288135591,0.3966379310344823,0.3157894736842105,0.1724137931034483,0.36206896551724144,0.3157894736842105,0.1724137931034483,0.36206896551724144,0.3157894736842105,0.1724137931034483,0.36206896551724144,jarvis_only,,,False
P0,F1_Frobenius,full_panel,,borda_count,1.0,True,False,57.0,57.0,573.0,,0.45614035087719296,0.9146961778511942,0.45614035087719296,0.543859649122807,0.08530382214880583,57,0.09947643979057591,0.014112903225806451,-0.012147177419354836,0.04233870967741935,0.3157894736842105,0.15254237288135591,0.3966379310344823,0.3157894736842105,0.1724137931034483,0.36206896551724144,0.3157894736842105,0.1724137931034483,0.36206896551724144,0.3157894736842105,0.1724137931034483,0.36206896551724144,jarvis_only,,,False
P0,F1_Frobenius,full_panel,,maximin_percentile,1.0,True,False,57.0,57.0,573.0,,0.38596491228070173,0.9092451009794245,0.38596491228070173,0.6140350877192983,0.09075489902057554,57,0.09947643979057591,0.014112903225806451,-0.016129032258064516,0.04435483870967742,0.24561403508771928,0.1016949152542373,0.3157894736842105,0.24561403508771928,0.10714285714285715,0.2857142857142857,0.24561403508771928,0.10714285714285715,0.2857142857142857,0.24561403508771928,0.10714285714285715,0.2857142857142857,jarvis_only,,,False
P0,F1_Frobenius,full_panel,,intersection_first,1.0,True,False,57.0,57.0,573.0,,0.45614035087719296,0.9146961778511942,0.45614035087719296,0.543859649122807,0.08530382214880583,57,0.09947643979057591,0.014112903225806451,-0.012147177419354836,0.04233870967741935,0.3157894736842105,0.15254237288135591,0.3966379310344823,0.3157894736842105,0.1724137931034483,0.36206896551724144,0.3157894736842105,0.1724137931034483,0.36206896551724144,0.3157894736842105,0.1724137931034483,0.36206896551724144,jarvis_only,,,False
P0,F1_Frobenius,full_panel,,balanced_union,1.0,True,False,57.0,57.0,573.0,,0.5263157894736842,0.9019257898724794,0.5263157894736842,0.4736842105263158,0.0980742101275206,57,0.09947643979057591,0.012096774193548387,-0.012096774193548387,0.036290322580645164,0.38596491228070173,0.21428571428571427,0.5,0.38596491228070173,0.2727272727272727,0.44067796610169485,0.38596491228070173,0.2727272727272727,0.44067796610169485,0.38596491228070173,0.2727272727272727,0.44067796610169485,jarvis_only,,,False
P0,F1_Frobenius,full_panel,,disagreement_abstention,1.0,True,False,57.0,57.0,573.0,0.0,0.45614035087719296,0.9146961778511942,0.45614035087719296,0.543859649122807,0.08530382214880583,57,0.09947643979057591,0.014112903225806451,-0.012147177419354836,0.04233870967741935,0.3157894736842105,0.15254237288135591,0.3966379310344823,0.3157894736842105,0.1724137931034483,0.36206896551724144,0.3157894736842105,0.1724137931034483,0.36206896551724144,0.3157894736842105,0.1724137931034483,0.36206896551724144,jarvis_only,,,False
P0,F1_Frobenius,full_panel,,minimax_oracle,1.0,True,False,57.0,57.0,573.0,,0.5614035087719298,0.9034740422239379,0.5614035087719298,0.4385964912280702,0.0965259577760621,57,0.09947643979057591,0.014112903225806451,-0.008064516129032258,0.038306451612903226,0.42105263157894735,0.23728813559322032,0.5087719298245614,0.42105263157894735,0.3571428571428572,0.46428571428571436,0.42105263157894735,0.3571428571428572,0.46428571428571436,0.42105263157894735,0.3571428571428572,0.46428571428571436,jarvis_only,,,True
P0,F1_Frobenius,full_panel,,jarvis_only,1.5,False,False,57.0,86.0,573.0,,0.2807017543859649,0.6706836495355625,0.2807017543859649,0.7192982456140351,0.3293163504644375,86,0.15008726003490402,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05263157894736842,-0.10344827586206895,0.1272727272727273,0.0,-0.10344827586206895,0.0,jarvis_only,,,False
P0,F1_Frobenius,full_panel,,mp_only,1.5,False,False,57.0,86.0,573.0,,0.22807017543859648,0.7108723843278167,0.22807017543859648,0.7719298245614035,0.28912761567218326,86,0.15008726003490402,0.008064516129032258,-0.03225806451612903,0.04838709677419355,-0.05263157894736842,-0.18181818181818182,0.08771929824561403,-0.05263157894736842,-0.1272727272727273,0.10344827586206895,0.0,0.0,0.0,-0.05263157894736842,-0.1272727272727273,0.0,jarvis_only,,,False
P0,F1_Frobenius,full_panel,,average_percentile,1.5,False,False,57.0,86.0,573.0,,0.5263157894736842,0.8981623646785318,0.5263157894736842,0.4736842105263158,0.10183763532146817,86,0.15008726003490402,0.008064516129032258,-0.02620967741935484,0.04032258064516129,0.24561403508771928,0.07017543859649128,0.3818560606060604,0.24561403508771928,0.10526315789473684,0.3966379310344823,0.2982456140350877,0.16666666666666669,0.38464912280701735,0.24561403508771928,0.10526315789473684,0.35714285714285715,jarvis_only,,,False
P0,F1_Frobenius,full_panel,,borda_count,1.5,False,False,57.0,86.0,573.0,,0.5263157894736842,0.8981623646785318,0.5263157894736842,0.4736842105263158,0.10183763532146817,86,0.15008726003490402,0.008064516129032258,-0.02620967741935484,0.04032258064516129,0.24561403508771928,0.07017543859649128,0.3818560606060604,0.24561403508771928,0.10526315789473684,0.39655172413793105,0.2982456140350877,0.16666666666666669,0.38464912280701735,0.24561403508771928,0.10526315789473684,0.35714285714285715,jarvis_only,,,False
P0,F1_Frobenius,full_panel,,maximin_percentile,1.5,False,False,57.0,86.0,573.0,,0.45614035087719296,0.8969777747805947,0.45614035087719296,0.543859649122807,0.1030222252194053,86,0.15008726003490402,0.012096774193548387,-0.02217741935483871,0.04642137096774166,0.17543859649122806,0.0,0.2678571428571429,0.17543859649122806,0.03508771929824561,0.3035714285714286,0.22807017543859648,0.08771929824561403,0.2857142857142857,0.17543859649122806,0.03448275862068961,0.2592592592592593,jarvis_only,,,False
P0,F1_Frobenius,full_panel,,intersection_first,1.5,False,False,57.0,86.0,573.0,,0.5263157894736842,0.8981623646785318,0.5263157894736842,0.4736842105263158,0.10183763532146817,86,0.15008726003490402,0.008064516129032258,-0.02620967741935484,0.04032258064516129,0.24561403508771928,0.07017543859649128,0.3818560606060604,0.24561403508771928,0.10526315789473684,0.3966379310344823,0.2982456140350877,0.16666666666666669,0.38464912280701735,0.24561403508771928,0.10526315789473684,0.35714285714285715,jarvis_only,,,False
P0,F1_Frobenius,full_panel,,balanced_union,1.5,False,False,57.0,86.0,573.0,,0.7894736842105263,0.8717844935088075,0.7894736842105263,0.21052631578947367,0.1282155064911925,86,0.15008726003490402,0.006048387096774193,-0.024193548387096774,0.034274193548387094,0.5087719298245614,0.30357142857142855,0.6181818181818182,0.5087719298245614,0.4166666666666667,0.625,0.5614035087719298,0.44642857142857145,0.6296296296296297,0.5087719298245614,0.41071428571428575,0.6000000000000001,jarvis_only,,,False
P0,F1_Frobenius,full_panel,,disagreement_abstention,1.5,False,False,57.0,86.0,573.0,0.0,0.5263157894736842,0.8981623646785318,0.5263157894736842,0.4736842105263158,0.10183763532146817,86,0.15008726003490402,0.008064516129032258,-0.02620967741935484,0.04032258064516129,0.24561403508771928,0.07017543859649128,0.3818560606060604,0.24561403508771928,0.10526315789473684,0.3966379310344823,0.2982456140350877,0.16666666666666669,0.38464912280701735,0.24561403508771928,0.10526315789473684,0.35714285714285715,jarvis_only,,,False
P0,F1_Frobenius,full_panel,,minimax_oracle,1.5,False,False,57.0,86.0,573.0,,0.8245614035087719,0.8601824136314156,0.8245614035087719,0.17543859649122806,0.13981758636858443,86,0.15008726003490402,0.004032258064516129,-0.02620967741935484,0.03024193548387097,0.543859649122807,0.30909090909090914,0.6140350877192983,0.543859649122807,0.45614035087719296,0.6491447368421052,0.5964912280701755,0.48214285714285715,0.6551724137931034,0.543859649122807,0.4544318181818181,0.625,jarvis_only,,,True
P0,F1_Frobenius,full_panel,,jarvis_only,2.0,False,False,57.0,114.0,573.0,,0.3333333333333333,0.6938022282209471,0.3333333333333333,0.6666666666666667,0.30619777177905294,114,0.19895287958115182,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.017543859649122806,-0.12068965517241381,0.16987638256343493,0.0,-0.12068965517241381,0.0,jarvis_only,,,False
P0,F1_Frobenius,full_panel,,mp_only,2.0,False,False,57.0,114.0,573.0,,0.3157894736842105,0.7259771106849818,0.3157894736842105,0.6842105263157895,0.27402288931501817,114,0.19895287958115182,0.010080645161290322,-0.034274193548387094,0.056451612903225805,-0.017543859649122806,-0.18337962962962964,0.13210691823899356,-0.017543859649122806,-0.16987638256343526,0.12068965517241381,0.0,0.0,0.0,-0.017543859649122806,-0.16987638256343526,0.0,jarvis_only,,,False
P0,F1_Frobenius,full_panel,,average_percentile,2.0,False,False,57.0,114.0,573.0,,0.5789473684210527,0.8957136614493961,0.5789473684210527,0.42105263157894735,0.10428633855060387,114,0.19895287958115182,0.010080645161290322,-0.024193548387096774,0.0444052419354836,0.24561403508771934,0.05354793233082699,0.3962264150943396,0.24561403508771934,0.07017543859649122,0.3928571428571429,0.26315789473684215,0.15789473684210525,0.39285714285714285,0.24561403508771934,0.07017543859649122,0.3508771929824561,jarvis_only,,,False
P0,F1_Frobenius,full_panel,,borda_count,2.0,False,False,57.0,114.0,573.0,,0.5789473684210527,0.8957136614493961,0.5789473684210527,0.42105263157894735,0.10428633855060387,114,0.19895287958115182,0.010080645161290322,-0.024193548387096774,0.0444052419354836,0.24561403508771934,0.05354793233082699,0.3962264150943396,0.24561403508771934,0.07017543859649122,0.3928571428571429,0.26315789473684215,0.15789473684210525,0.39285714285714285,0.24561403508771934,0.07017543859649122,0.3508771929824561,jarvis_only,,,False
P0,F1_Frobenius,full_panel,,maximin_percentile,2.0,False,False,57.0,114.0,573.0,,0.49122807017543857,0.8903221413260931,0.49122807017543857,0.5087719298245614,0.10967785867390689,114,0.19895287958115182,0.010080645161290322,-0.026260080645161287,0.04838709677419355,0.15789473684210525,-0.03449788263762857,0.267940375302663,0.15789473684210525,0.0,0.26666666666666666,0.17543859649122806,0.06896551724137928,0.2727272727272727,0.15789473684210525,0.0,0.22807017543859653,jarvis_only,,,False
P0,F1_Frobenius,full_panel,,intersection_first,2.0,False,False,57.0,114.0,573.0,,0.5789473684210527,0.8957136614493961,0.5789473684210527,0.42105263157894735,0.10428633855060387,114,0.19895287958115182,0.010080645161290322,-0.024193548387096774,0.0444052419354836,0.24561403508771934,0.05354793233082699,0.3962264150943396,0.24561403508771934,0.07017543859649122,0.3928571428571429,0.26315789473684215,0.15789473684210525,0.39285714285714285,0.24561403508771934,0.07017543859649122,0.3508771929824561,jarvis_only,,,False
P0,F1_Frobenius,full_panel,,balanced_union,2.0,False,True,57.0,114.0,573.0,,1.0,0.8511240479798208,1.0,0.0,0.14887595202017923,114,0.19895287958115182,-0.0020161290322580645,-0.034274193548387094,0.03024193548387097,0.6666666666666667,0.4067796610169491,0.7454545454545454,0.6666666666666667,0.5254028896915809,0.7777777777777778,0.6842105263157895,0.5454545454545454,0.8135907093534211,0.6666666666666667,0.509090909090909,0.7586206896551724,jarvis_only,,,True
P0,F1_Frobenius,full_panel,,disagreement_abstention,2.0,False,False,57.0,114.0,573.0,0.0,0.5789473684210527,0.8957136614493961,0.5789473684210527,0.42105263157894735,0.10428633855060387,114,0.19895287958115182,0.010080645161290322,-0.024193548387096774,0.0444052419354836,0.24561403508771934,0.05354793233082699,0.3962264150943396,0.24561403508771934,0.07017543859649122,0.3928571428571429,0.26315789473684215,0.15789473684210525,0.39285714285714285,0.24561403508771934,0.07017543859649122,0.3508771929824561,jarvis_only,,,False
P0,F1_Frobenius,full_panel,,minimax_oracle,2.0,False,False,57.0,114.0,573.0,,1.0,0.8511240479798208,1.0,0.0,0.14887595202017923,114,0.19895287958115182,-0.0020161290322580645,-0.034274193548387094,0.03024193548387097,0.6666666666666667,0.4067796610169491,0.7454545454545454,0.6666666666666667,0.5254028896915809,0.7777777777777778,0.6842105263157895,0.5454545454545454,0.8135907093534211,0.6666666666666667,0.509090909090909,0.7586206896551724,jarvis_only,,,True
P0,F3_Longitudinal,full_panel,,jarvis_only,1.0,True,False,57.0,57.0,573.0,,0.12280701754385964,0.6278138609648292,0.12280701754385964,0.8771929824561404,0.37218613903517084,57,0.09947643979057591,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,jarvis_only,,,False
P0,F3_Longitudinal,full_panel,,mp_only,1.0,True,False,57.0,57.0,573.0,,0.12280701754385964,0.6750425291799023,0.12280701754385964,0.8771929824561404,0.32495747082009774,57,0.09947643979057591,0.016129032258064516,-0.018145161290322582,0.05040322580645161,0.0,-0.05263157894736842,0.1111111111111111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,jarvis_only,,,False
